name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Amathera Aelfdene Casmir Lounault,Taraboner,Alive,Female,NA,TSR 52,TOM 17,NA,Panarch of Tarabon,Panarch,NA,TSR 38,AMOL 37,974 NE,"Large, dark",NA,"Long, dark, braided",NA,NA,NA,NA,NA,NA,NA,NA,NA
Loya,Altaran,Alive,Female,NA,ACOS 28,NA,NA,NA,NA,NA,NA,ACOS 28,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Luaine,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TDR 39,LOC 53,NA,NA,NA,Yellow,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Latelle Luca,Unknown nationality,Alive,Female,NA,TFOH 17,KOD 11,Valan Luca,NA,NA,NA,NA,NA,NA,Dark,NA,"Short, Dark",NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Lucain,Unknown nationality,Alive,Female,NA,TGS 40,TGS 40,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,Brunette,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catala Lucanvalle,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,250 NE,TWORJTWOT,TWORJTWOT,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luci,Amadician,Alive,Female,Thin,TFOH 9,TFOH 10,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Lucilde,Andoran,Alive,Female,Lanky,LOC 30,LOC 30,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludin,Aiel,Alive,Female,NA,AMOL 12,AMOL 12,Rand al'Thor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Alsbet Luhhan,Andoran,Alive,Female,NA,TEOTW 2,TSR 56,Two Rivers,Women's Circle Member,NA,NA,NA,LOC 45,955 NE[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igaine Luin,Unknown nationality,Dead,Female,NA,TWORJTWOT,TWORJTWOT,NA,Amyrlin Seat,Aes Sedai,520 NE,NA,NA,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusara,Domani,Alive,Female,Buxom,KOD 5,KOD 28,Faile Bashere,NA,NA,NA,NA,NA,NA,NA,NA,"Black, going white, shoulder-length",NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Haesel Lusara,Murandian,Alive,Female,Stocky,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,878 NE,Black,Brown Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larissa Lyndel,Unknown nationality,Dead,Female,Bony,LOC 30,LOC 30,Black Ajah,NA,Aes Sedai,1000 NE,NA,TGS 39,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyndelle,Andoran,Dead,Female,NA,NA,NA,Andor,Queen,Queen of Andor,30 NE,LOC 26,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mabriam en Shereed,Aramaellen,Dead,Female,NA,NA,NA,NA,Queen,Aes Sedai,NA,TFOH 3,ACOS 19,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraighan Maconar,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,373 AB,LOC 54,TGS 2,212 AB,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macu,Seanchan,Dead,Female,NA,NA,NA,NA,NA,NA,1000 NE,TPOD 6,TPOD 6,NA,NA,NA,NA,NA,Morat'raken,NA,NA,NA,NA,NA,NA,NA
Ronde Macura,Amadician,Alive,Female,NA,TFOH 9,WH 14,Seanchan,NA,NA,NA,NA,KOD 31,NA,NA,NA,Dark,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA
Mada,Tar Valon,Alive,Female,NA,TDR 31,TDR 31,NA,NA,NA,NA,NA,NA,NA,Big Brown,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Juilaine Madome,Ghealdanin,Alive,Female,NA,TPOD 26,TGS 46,White Tower,NA,Aes Sedai,NA,NA,NA,903 NE,NA,Brown Ajah,"Black, Short",Tall,Sitter,NA,NA,NA,NA,NA,NA,NA
Maglin Madwen,Murandy,Alive,Female,Lean,TGH 21,TGH 21,NA,NA,NA,NA,NA,WH 35,NA,NA,NA,Graying,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Maenadrin,Saldaean,Alive,Female,NA,TGS 6,TGS 6,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Dark,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maerin,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,AMOL 18,AMOL 18,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maigan,Unknown nationality,Alive,Female,Elongated,COT 30,COT 30,White Tower,NA,Aes Sedai,NA,TGH 4,NA,NA,Large,Blue Ajah,NA,Average,NA,NA,NA,NA,NA,NA,NA,NA
Maigran,NA,Dead,Female,NA,TSR 25,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Mair,Arafellin,Alive,Female,Plump,KOD 24,TGS 41,White Tower,NA,Accepted,NA,NA,NA,NA,Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maira,Aiel,Alive,Female,NA,TFOH 23,LOC 3,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,Tomanelle,Serai,Far Dareis Mai,NA,NA,NA,NA
Mala,Unknown nationality,Foreseen,Female,NA,NA,NA,NA,NA,NA,NA,TOM 20,NA,NA,NA,NA,NA,NA,Orphan keeper,NA,NA,NA,NA,NA,NA,NA
Malahavana,Seanchan,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGS 36,TGS 36,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Malai,Seanchan,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGS 35,TGS 35,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Jarna Malari,Unknown nationality,Dead,Female,NA,NS 6,NS 6,Black Ajah,NA,Aes Sedai,983 NE,NA,ACOS Prologue,NA,Brown,Gray Ajah,"Long, black, white at temples","5'6"" or 168cm",Sitter,NA,NA,NA,NA,NA,NA,NA
Aledrin Malenry,Taraboner,Alive,Female,NA,NS 3,AMOL 21,White Tower,NA,Aes Sedai,NA,NA,NA,NA,Brown,White Ajah,Dark Golden,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Malian,Seanchan,Alive,Female,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Malidra,Aiel,Unknown,Female,NA,NA,NA,NA,NA,NA,NA,TOM 48,NA,NA,NA,NA,NA,Tall,Unknown occupation,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Malindare,Aiel,Alive,Female,NA,ACOS 33,ACOS 33,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Malindhe,Aiel,Alive,Female,NA,LOC 32,LOC 32,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Mavra Mallen,Andoran,Alive,Female,NA,NA,NA,Two Rivers,Wisdom,NA,NA,TEOTW 16,TGH 23,NA,NA,NA,"Long, Braided",NA,Healer,NA,NA,NA,NA,NA,NA,NA
Willa Mandair,Unknown nationality,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NS 6,NS 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breyan Mandragoran,Malkieri,Unknown,Female,NA,NA,NA,NA,Lady,Lady,Presumably 955 NE,TEOTW 47,TGH 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El'Leanna Mandragoran,Malkier,Dead,Female,NA,NA,NA,NA,Queen of Malkier,Queen,NA,NS 15,TEOTW 47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elnore Mandragoran,Malkieri,Foreseen,Female,NA,TGH 23,TGH 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mordrellen Mantear,Andoran,Dead,Female,NA,NA,NA,NA,Queen,Queen of Andor,NA,TFOH 19,COT 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigraine Mantear,Andoran,Dead,Female,NA,NA,NA,NA,Lady,Daughter-heir,978 NE,TEOTW 34,AMOL 19,950 NE,NA,NA,Golden,NA,NA,Taardad,Chumai,Far Dareis Mai,NA,NA,NA,NA
Maragaine,Andoran,Dead,Female,NA,NA,NA,Andor,Queen,Queen of Andor,NA,LOC 26,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marah,Murandian,Alive,Female,Stocky,KOD 24,KOD 24,White Tower,NA,Novice,NA,NA,NA,NA,"Mischievous, blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maralenda,Andor,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS 8,NA,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mareil,Atha'an Miere,Alive,Female,Slender,KOD 22,KOD 22,Atha'an Miere,NA,First Twelve,NA,NA,NA,NA,NA,NA,"Shoulder-length, black, going white",Tall,NA,Mushien,NA,NA,NA,NA,NA,NA
Corgaide Marendevin,Cairhienin,Alive,Female,NA,TPOD 12,COT Prologue,Cairhien,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Holder of the Keys,NA,NA,NA,NA,NA,NA,NA
Therva Maresis,Unknown nationality,Alive,Female,Slim,TFOH 50,COT 19,White Tower,NA,Aes Sedai,NA,NA,NA,862 NE,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marewin,Amadician,Alive,Female,Slight,LOC 9,LOC 9,NA,Lady,NA,NA,NA,LOC 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mari,Andoran,Alive,Female,NA,TEOTW 14,TEOTW 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serving girl,NA,NA,NA,NA,NA,NA,NA
Marille,Seanchan,Alive,Female,Stout,KOD 14,TOM 33,NA,NA,NA,NA,WH 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marinna,Aiel,Foreseen,Female,Small,TOM 49,TOM 49,NA,Child of the Dragon,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One apprentice,NA,NA,NA,NA,NA,NA,NA
Aeldrine Marinye,Taraboner,Dead,Female,NA,NA,NA,NA,NA,NA,NA,KOD 2,KOD 2,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Beonin Marinye,Taraboner,Alive,Female,NA,TFOH 27,KOD 24,White Tower,NA,Aes Sedai,NA,NA,TGS 18,936 NE,Blue-gray,Gray Ajah,"Dark, Honey-colored",NA,NA,NA,NA,NA,NA,NA,NA,NA
Beryl Marle,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,533 NE,TWORJTWOT,TWORJTWOT,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marline,Aiel,Alive,Female,NA,TPOD 9,KOD 29,Car'a'carn,NA,NA,NA,NA,NA,NA,Purple,NA,Dark,Tall,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Arymilla Marne,Andoran,Alive,Female,Plump,TFOH 19,TOM 50,Andor,Lady,High Seat,NA,NA,NA,NA,"Brown, big",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerilla Marodred,Cairhienin,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,476 NE,TWORJTWOT,TWORJTWOT,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsial,Unknown nationality,Alive,Female,NA,TGS 38,TGS 38,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alrom Marsim,Manetheren,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 15,TOM 15,NA,NA,NA,NA,NA,Historian,NA,NA,NA,NA,NA,NA,NA
Elvaine Martan,Andoran,Alive,Female,NA,KOD 17,KOD 17,House Trakand,Lady,NA,NA,NA,KOD 32,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marthea,Aiel,Dead,Female,NA,NA,NA,Shaido,NA,NA,1000 NE,TGS 21,TGS 22,NA,NA,NA,NA,NA,NA,Shaido,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Marthera,Unknown nationality,Alive,Female,NA,NA,NA,Seanchan,NA,Aes Sedai,NA,TGS 40,TGS 40,NA,NA,Green Ajah,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Rabayn Marushta,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,36 NE,TWORJTWOT,TWORJTWOT,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elise Marwin,Andoran,Alive,Female,NA,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noane Masadim,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,973 NE,TWORJTWOT,TWORJTWOT,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masalin,Aiel,Alive,Female,NA,COT 9,COT 9,Shaido Aiel,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Narvais Maslin,Far Madding,Alive,Female,NA,WH 24,WH 34,NA,NA,Counsel,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,Slim,NA,NA,NA
Materese the Healer,NA,Fictional character,Female,NA,NA,NA,NA,Materese the Healer,NA,NA,TEOTW 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathena,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 47,TFOH 47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danella Mathendrin,Maredo,Dead,Female,NA,NA,NA,NA,NA,NA,NA,The Wheel of Time Companion,NA,NA,NA,NA,NA,NA,Lady,NA,NA,NA,NA,NA,NA,NA
Nelein Matherin,Andoran,Dead,Female,NA,NA,NA,House Matherin,Lady,Lady,NA,COT 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verin Mathwin,Far Madding,Dead,Female,Plump,NS 10,TGS 39,The Light,NA,Aes Sedai,1000 NE,NS 3,TOM Epilogue,849 NE,Dark,Brown Ajah,"Brown, with a touch of gray",5' or 152 cm,NA,NA,NA,NA,NA,NA,NA,NA
Matilde,Altaran,Alive,Female,NA,ACOS 16,NA,NA,NA,NA,NA,NA,ACOS 16,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Annharid Matoun,Saldaean,Alive,Female,Stocky,NA,NA,White Tower,NA,Aes Sedai,NA,COT Prologue,COT Prologue,894 NE,Dark brown,Yellow Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayam Colona,Tairen,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,LOC 25,LOC 25,960 NE,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maylin,Altaran,Alive,Female,NA,ACOS 39,ACOS 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Mayv Gilyard,Andoran,Dead,Female,NA,NA,NA,House Trakand,Lady,NA,NA,COT 13,COT 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joline Maza,Unknown nationality,Alive,Female,Slender,TSR 47,TOM 17,White Tower,NA,Aes Sedai,NA,NA,TOM 52,899 NE,"Brown, Large",Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabriana Mecandes,Tairen,Dead,Female,NA,NS 12,LOC 6,NA,NA,Aes Sedai,999 NE,NA,KOD 23,911 NE,Pale Blue,Blue Ajah,"Long, Golden",NA,NA,NA,NA,NA,NA,NA,NA,NA
Elspeth Mecandes,Cairhienin,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holleen Mecandes,Cairhienin,Alive,Female,NA,NA,NA,Darkfriend,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosara Medrano,Tairen,Alive,Female,NA,COT Prologue,COT Prologue,Unaligned sisters,NA,Aes Sedai,NA,NA,NA,NA,NA,Brown Ajah,Black,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Megana,Aiel,Alive,Female,NA,ACOS 3,ACOS 3,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Megda,Tar Valon,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Green Ajah,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Meira,Aiel,Alive,Female,NA,ACOS Prologue,KOD 5,Sevanna,NA,NA,NA,NA,NA,NA,Blue,NA,NA,NA,Wise One,Shaido,White Cliff,NA,NA,NA,NA,NA
Meise,Aiel,Foreseen,Female,NA,NA,NA,NA,NA,NA,NA,TOM 48,NA,NA,NA,NA,NA,Tall,Unknown occupation,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Cadsuane Melaidhrin,Far Madding,Alive,Female,NA,NS 17,AMOL Epilogue,White Tower,Amyrlin Seat,Aes Sedai,NA,NA,NA,705 NE,Nearly black,Green Ajah,Iron gray,"5'5""",NA,NA,NA,NA,NA,NA,NA,NA
Melaine,Aiel,Alive,Female,NA,TSR 23,AMOL 33,NA,NA,NA,NA,TDR 39,NA,890 NE - 916 NE,Green,NA,Golden-red,NA,Wise One,Goshien,Jhirad,NA,NA,NA,NA,NA
Melare,Andoran,Unknown,Female,Plump,KOD Prologue,AMOL 14,The Shadow,NA,Aes Sedai,NA,NA,AMOL 14,NA,Bright blue,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melasune,Andoran,Dead,Female,NA,NA,NA,NA,Queen of Andor,Queen,FY 1046,RPG,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suroth Sabelle Meldarath,Seanchan,Alive,Female,NA,TGH 40,KOD Epilogue,Darkfriend,NA,NA,NA,NA,AMOL Prologue,NA,Black,NA,Dark,"5'5""",Da'covale,NA,NA,NA,NA,NA,NA,NA
Melia,Shienaran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGH 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melindhra,Aiel,Dead,Female,NA,TFOH 3,TFOH 51,The Shadow,NA,NA,999 NE,NA,TFOH 52,NA,Pale blue,NA,"Long, golden",Tall,NA,Shaido,Jumai,Far Dareis Mai,NA,NA,NA,NA
Melisinde,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 24,TFOH 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melitene,Seanchan,Alive,Female,NA,COT 4,TOM 47,NA,NA,Der'sul'dam,NA,NA,NA,NA,NA,NA,"Graying, long",NA,Der'sul'dam,NA,NA,NA,NA,NA,NA,NA
Sharina Melloy,Murandian,Alive,Female,NA,COT 17,TGS 18,White Tower,NA,Novice,NA,TGH 23,NA,933 NE,NA,NA,"Gray, tied in bun",NA,NA,NA,NA,NA,NA,NA,NA,NA
Melore,Domani,Dead,Female,NA,ACOS 37,ACOS 38,The Kin,NA,Elder,1000 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plump,NA,NA,NA
Melvara,Unknown nationality,Alive,Female,NA,NA,NA,Black Ajah,NA,Aes Sedai,NA,TGS 39,TGS 39,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirin Melway,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,950 NE,TWORJTWOT,TWORJTWOT,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memara,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TFOH Prologue,TPOD Prologue,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idrelle Menford,Unknown nationality,Alive,Female,Lanky,KOD 24,KOD 24,White Tower,NA,Accepted,NA,NA,NA,NA,Hard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mera,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,LOC 27,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA
Bonwhin Meraighdin,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,FY 996,TGH 5,COT 30,FY 738,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merale,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Daryne,Broken Cliff,NA,NA,NA,NA,NA
Meramor,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TOM 20,TOM 20,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turanine Merdagon,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,c. 957 NE,KOD 2,NA,NA,"Dark, tilted",Unknown Ajah,"White, straight, waist-length",NA,NA,NA,NA,NA,NA,NA,NA,NA
Nalasia Merhan,Unknown nationality,Alive,Female,NA,TGS Epilogue,TGS Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meri,Unknown nationality,Dead,Female,NA,ACOS 11,NA,Rebel Aes Sedai,NA,NA,1000 NE,ACOS 8,NA,NA,Dark,NA,Dark,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Merici,Unknown nationality,Alive,Female,NA,WH 15,WH 15,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Renala Merlon,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TGS 16,NA,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merya,Saldaean,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TPOD 10,TPOD 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merym,Arafellin,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,KOD Prologue,KOD Prologue,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesaana,NA,Brain-dead,Female,NA,TSR 47,TOM 38,NA,NA,Chosen,NA,NA,TOM Epilogue,Age of Legends,"Blue, big",NA,"Dark, chin-length",NA,NA,NA,NA,NA,NA,NA,NA,NA
Sevlana Meseau,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,ACOS 19,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doraise Mesianos,Unknown nationality,Alive,Female,Plump,COT Prologue,COT Prologue,White Tower,NA,Aes Sedai,NA,ACOS 32,NA,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mestra,Unknown nationality,Dead,Female,NA,TOM 37,TOM 37,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eldrid Methin,Cairhienin,Alive,Female,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook,NA,NA,NA,NA,NA,NA,NA
Micara,Aiel,Alive,Female,NA,ACOS 40,ACOS 40,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Miesa,Unknown nationality,Unknown,Female,NA,LOC 30,LOC 30,NA,NA,NA,NA,NA,KOD 23,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Mika,Seanchan,Dead,Female,NA,AMOL 37,AMOL 37,Ever Victorious Army,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Millin,Unknown nationality,Alive,Female,NA,NA,NA,NA,NA,NA,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Milsa,Far Madding,Alive,Female,NA,WH 32,WH 33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talene Minly,Andoran,Unknown,Female,Statesque,ACOS 32,KOD Prologue,Black Ajah,NA,Aes Sedai,NA,NA,TGS 46,840 NE,Blue,Green Ajah,Golden,Tall,Sitter,NA,NA,NA,NA,NA,NA,NA
Mirala,Borderlander,Alive,Female,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miren,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 41,NA,NA,NA,NA,NA,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA
Miri,Seanchan,Dead,Female,NA,TGS Prologue,NA,NA,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Miselle,Mayener,Dead,Female,NA,NA,NA,NA,First of Mayene,Lady First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tylin Quintara Mitsobar,Altaran,Dead,Female,NA,LOC 48,WH 31,NA,"Queen of Altara, Mistress of the Four Winds, Guardian of the Sea of Storms, High Seat of House Mitsobar",Queen,1000 NE,LOC 7,AMOL 17,NA,Large dark,NA,Long glossy black,No taller than Nynaeve,NA,NA,NA,NA,NA,NA,NA,NA
