variable,value,name
Gender,Female,Lydel Elonid
First mentioned,WH 29,Lydel Elonid
Last mentioned,WH 29,Lydel Elonid
Occupation,Innkeeper,Lydel Elonid
Current status,Dead,Elora
Race,Ogier,Elora
Gender,Female,Elora
First mentioned,LOC 54,Elora
Last mentioned,LOC 54,Elora
Occupation,Author,Elora
Current status,Fictional character,"Elsbet, the Queen of All"
Gender,Female,"Elsbet, the Queen of All"
First mentioned,TEOTW 4,"Elsbet, the Queen of All"
Last mentioned,TSR 20,"Elsbet, the Queen of All"
Title,Queen of All,"Elsbet, the Queen of All"
Rank,Queen,"Elsbet, the Queen of All"
Nationality,Andoran,Elsie
Current status,Alive,Elsie
Gender,Female,Elsie
Height,Tall,Elsie
Hair,Dark,Elsie
Eyes,Dark,Elsie
First appeared,COT 10,Elsie
Last appeared,COT 10,Elsie
Affiliation,House Matherin,Elsie
Occupation,Maid,Elsie
Nationality,Unknown nationality,Elswell
Current status,Alive,Elswell
Gender,Female,Elswell
First mentioned,AMOL Epilogue,Elswell
Last mentioned,AMOL Epilogue,Elswell
Affiliation,White Tower,Elswell
Rank,Aes Sedai,Elswell
Ajah,Unknown Ajah,Elswell
Nationality,Andoran,Lini Eltring
Current status,Alive,Lini Eltring
Gender,Female,Lini Eltring
Build,Thin,Lini Eltring
Hair,"White, in a bun",Lini Eltring
Eyes,Dark,Lini Eltring
First mentioned,TEOTW 40,Lini Eltring
First appeared,TFOH 19,Lini Eltring
Last appeared,TOM 44,Lini Eltring
Last mentioned,AMOL 10,Lini Eltring
Affiliation,Morgase Trakand,Lini Eltring
Occupation,Maid,Lini Eltring
Nationality,Unknown nationality,Moria Elward
Current status,Dead,Moria Elward
Gender,Female,Moria Elward
First appeared,TSR 17,Moria Elward
Last appeared,TSR 17,Moria Elward
Occupation,Farmer,Moria Elward
Nationality,Altaran,Elynde
Current status,Alive,Elynde
Gender,Female,Elynde
Last mentioned,ACOS 17,Elynde
Occupation,Unknown occupation,Elynde
Nationality,Seanchan,Renna Emain
Date of death,1000 NE,Renna Emain
Current status,Dead,Renna Emain
Gender,Female,Renna Emain
Height,Short,Renna Emain
Hair,"Long, brown",Renna Emain
Eyes,"Big, brown",Renna Emain
First appeared,TGH 40,Renna Emain
Last appeared,COT 29,Renna Emain
Last mentioned,AMOL 26,Renna Emain
Occupation,Sul'dam,Renna Emain
Nationality,Illianer,Emara
Date of birth,968 NE,Emara
Current status,Alive,Emara
Gender,Female,Emara
Height,Tiny,Emara
Build,Lean,Emara
Eyes,Gray,Emara
First mentioned,TFOH 50,Emara
First appeared,LOC 12,Emara
Last appeared,COT 30,Emara
Affiliation,White Tower,Emara
Rank,Accepted,Emara
Nationality,Tairen,Carniele Emares
Current status,Alive,Carniele Emares
Gender,Female,Carniele Emares
First mentioned,WH Prologue,Carniele Emares
Last mentioned,WH Prologue,Carniele Emares
Affiliation,White Tower,Carniele Emares
Rank,Aes Sedai,Carniele Emares
Ajah,Yellow Ajah,Carniele Emares
Nationality,Aiel,Emerys
Current status,Alive,Emerys
Gender,Female,Emerys
Height,Short,Emerys
First appeared,LOC 32,Emerys
Last appeared,TPOD 11,Emerys
Affiliation,Shaido,Emerys
Occupation,Wise One,Emerys
Clan,Shaido,Emerys
Sept,Unknown sept,Emerys
Nationality,Ghealdanin,Chesmal Emry
Date of death,1000 NE,Chesmal Emry
Current status,Dead,Chesmal Emry
Gender,Female,Chesmal Emry
Height,Tall,Chesmal Emry
Hair,Dark,Chesmal Emry
Eyes,Dark,Chesmal Emry
First mentioned,NS 18,Chesmal Emry
First appeared,TFOH 18,Chesmal Emry
Last appeared,TOM 23,Chesmal Emry
Last mentioned,TOM 45,Chesmal Emry
Affiliation,Black Ajah,Chesmal Emry
Rank,Aes Sedai,Chesmal Emry
Ajah,Yellow Ajah,Chesmal Emry
Nationality,Aiel,Enaila
Current status,Dead,Enaila
Gender,Female,Enaila
Height,Short,Enaila
Build,Lanky,Enaila
Hair,Red,Enaila
First appeared,TFOH 3,Enaila
Last appeared,AMOL 37,Enaila
Affiliation,Car'a'carn,Enaila
Clan,Chareen,Enaila
Sept,Jarra (sept),Enaila
Society,Far Dareis Mai,Enaila
Nationality,Altaran,Enid
Current status,Alive,Enid
Gender,Female,Enid
Build,Round,Enid
Eyes,dark,Enid
First appeared,ACOS 23,Enid
Last appeared,WH 19,Enid
Affiliation,Setalle Anan,Enid
Occupation,Cook,Enid
Nationality,Illianer,Medanor Eramandos
Date of death,171 NE,Medanor Eramandos
Current status,Dead,Medanor Eramandos
Gender,Female,Medanor Eramandos
First mentioned,TWORJTWOT,Medanor Eramandos
Last mentioned,TWORJTWOT,Medanor Eramandos
Title,Amyrlin Seat,Medanor Eramandos
Rank,Aes Sedai,Medanor Eramandos
Ajah,Gray Ajah,Medanor Eramandos
Nationality,Domani,Demira Eriff
Date of birth,930 NE,Demira Eriff
Current status,Alive,Demira Eriff
Gender,Female,Demira Eriff
First mentioned,LOC 41,Demira Eriff
First appeared,LOC 43,Demira Eriff
Last appeared,LOC 49,Demira Eriff
Affiliation,White Tower,Demira Eriff
Rank,Aes Sedai,Demira Eriff
Ajah,Brown Ajah,Demira Eriff
Current status,Alive,Erith
Race,Ogier,Erith
Gender,Female,Erith
Height,Short (for an Ogier),Erith
Hair,Black,Erith
Eyes,The color of a silverbell's ripe seedpod,Erith
First mentioned,TEOTW 42,Erith
First appeared,TGH 35,Erith
Last appeared,AMOL 37,Erith
Nationality,Tairen,Suilin Escanda
Date of death,422 NE,Suilin Escanda
Current status,Dead,Suilin Escanda
Gender,Female,Suilin Escanda
First mentioned,TWORJTWOT,Suilin Escanda
Last mentioned,TWORJTWOT,Suilin Escanda
Title,Amyrlin Seat,Suilin Escanda
Rank,Aes Sedai,Suilin Escanda
Ajah,Blue Ajah,Suilin Escanda
Nationality,Arafellin,Meidani Eschede
Current status,Alive,Meidani Eschede
Gender,Female,Meidani Eschede
Height,Tall,Meidani Eschede
Build,Slim,Meidani Eschede
Hair,Dark golden,Meidani Eschede
Eyes,Blue,Meidani Eschede
First appeared,NS 4,Meidani Eschede
Last appeared,TGS 39,Meidani Eschede
Affiliation,White Tower,Meidani Eschede
Rank,Aes Sedai,Meidani Eschede
Ajah,Gray Ajah,Meidani Eschede
Nationality,Kandor,Esne
Current status,Alive,Esne
Gender,Female,Esne
First appeared,NS 22,Esne
Last appeared,NS 26,Esne
Occupation,Servant,Esne
Current status,Dead,Esole
Gender,Female,Esole
First appeared,TSR 26,Esole
Last appeared,TSR 26,Esole
Clan,Da'shain Aiel,Esole
Nationality,Andoran,Essande
Current status,Alive,Essande
Gender,Female,Essande
Build,Slim,Essande
Hair,White,Essande
First appeared,WH 9,Essande
Last appeared,KOD 35,Essande
Affiliation,House Trakand,Essande
Occupation,Maid,Essande
Nationality,Seanchan,Essonde
Current status,Alive,Essonde
Gender,Female,Essonde
First mentioned,WH 20,Essonde
First appeared,WH 31,Essonde
Last appeared,WH 31,Essonde
Occupation,Der'sul'dam,Essonde
Nationality,Aiel,Estair
Current status,Alive,Estair
Gender,Female,Estair
Build,Slender,Estair
Hair,Red,Estair
Eyes,"Gray, serious",Estair
First appeared,LOC 27,Estair
Last appeared,LOC 33,Estair
Affiliation,Car'a'carn,Estair
Occupation,Wise One apprentice,Estair
Clan,Unknown clan,Estair
Sept,Unknown sept,Estair
Nationality,Aiel,Estalaine
Date of death,1000 NE,Estalaine
Current status,Dead,Estalaine
Gender,Female,Estalaine
Eyes,Blue,Estalaine
First appeared,ACOS Prologue,Estalaine
Last appeared,ACOS Prologue,Estalaine
Affiliation,Sevanna,Estalaine
Occupation,Wise One,Estalaine
Clan,Shaido,Estalaine
Sept,Unknown sept,Estalaine
Nationality,Tairen,Estanda
Current status,Alive,Estanda
Gender,Female,Estanda
First appeared,TSR 21,Estanda
Last appeared,TGS 42,Estanda
Title,High Lady,Estanda
Nationality,Kandori,Ethenielle Kirukon Materasu
Date of birth,946 NE,Ethenielle Kirukon Materasu
Current status,Alive,Ethenielle Kirukon Materasu
Gender,Female,Ethenielle Kirukon Materasu
Height,"5'4""",Ethenielle Kirukon Materasu
Build,Plump,Ethenielle Kirukon Materasu
Hair,"Black, dusted with gray",Ethenielle Kirukon Materasu
Eyes,Clear blue,Ethenielle Kirukon Materasu
First mentioned,NS 22,Ethenielle Kirukon Materasu
First appeared,TPOD Prologue,Ethenielle Kirukon Materasu
Last appeared,AMOL 10,Ethenielle Kirukon Materasu
Last mentioned,AMOL 18,Ethenielle Kirukon Materasu
Affiliation,Kandor,Ethenielle Kirukon Materasu
Title,"Queen of Kandor, Protector of the Land, Shield of the North, High Seat of House Materasu",Ethenielle Kirukon Materasu
Rank,Queen,Ethenielle Kirukon Materasu
Nationality,Aiel,Evasni
Current status,Alive,Evasni
Gender,Female,Evasni
Build,Lanky,Evasni
Hair,"Dark red, short with a tail at back",Evasni
First appeared,TOM 32,Evasni
Last appeared,TOM 32,Evasni
Affiliation,Car'a'carn,Evasni
Clan,Unknown clan,Evasni
Sept,Unknown sept,Evasni
Society,Far Dareis Mai,Evasni
Nationality,Atha'an Miere,Faeral din Rao
Current status,Alive,Faeral din Rao
Gender,Female,Faeral din Rao
Affiliation,Atha'an Miere,Faeral din Rao
Rank,Windfinder,Faeral din Rao
Nationality,Seanchan,Falendre
Current status,Alive,Falendre
Gender,Female,Falendre
Hair,Streaks of gray,Falendre
Eyes,"Dark, tilted",Falendre
First appeared,KOD 27,Falendre
Last appeared,TGS Prologue,Falendre
Last mentioned,TGS 35,Falendre
Occupation,Sul'dam,Falendre
Nationality,Borderlander,Auaine Fanwar
Current status,Alive,Auaine Fanwar
Gender,Female,Auaine Fanwar
Hair,"Silver-gray, in a bun",Auaine Fanwar
First appeared,TGS Prologue,Auaine Fanwar
Last appeared,TGS Prologue,Auaine Fanwar
Nationality,Unknown nationality,Karella Fanway
Current status,Dead,Karella Fanway
Gender,Female,Karella Fanway
First mentioned,TWORJTWOT,Karella Fanway
Last mentioned,TWORJTWOT,Karella Fanway
Affiliation,White Tower,Karella Fanway
Rank,Aes Sedai,Karella Fanway
Ajah,Unknown Ajah,Karella Fanway
Nationality,Unknown nationality,Farellien
Current status,Alive,Farellien
Gender,Female,Farellien
First mentioned,ACOS 32,Farellien
Last mentioned,ACOS 32,Farellien
Affiliation,White Tower,Farellien
Rank,Aes Sedai,Farellien
Ajah,Yellow Ajah,Farellien
Nationality,Domani,Saroiya Farseen
Date of birth,857 NE,Saroiya Farseen
Current status,Alive,Saroiya Farseen
Gender,Female,Saroiya Farseen
Height,"5'4"" or 163 cm",Saroiya Farseen
Build,Blocky,Saroiya Farseen
Hair,Brown,Saroiya Farseen
Eyes,Brown,Saroiya Farseen
First mentioned,TFOH 26,Saroiya Farseen
First appeared,TPOD 16,Saroiya Farseen
Last appeared,TOM 27,Saroiya Farseen
Affiliation,White Tower,Saroiya Farseen
Occupation,Sitter,Saroiya Farseen
Rank,Aes Sedai,Saroiya Farseen
Ajah,White Ajah,Saroiya Farseen
Nationality,Andoran,Min Farshaw
Date of birth,975 NE,Min Farshaw
Current status,Alive,Min Farshaw
Gender,Female,Min Farshaw
Height,"5'5"" or 165cm",Min Farshaw
Build,Slender,Min Farshaw
Hair,Brown,Min Farshaw
Eyes,Dark,Min Farshaw
First appeared,TEOTW 14,Min Farshaw
Last appeared,AMOL Epilogue,Min Farshaw
Occupation,Philosopher,Min Farshaw
Title,Truthspeaker,Min Farshaw
Rank,Doomseer,Min Farshaw
Nationality,Domani,Irgain Fatamed
Date of birth,931 NE,Irgain Fatamed
Current status,Alive,Irgain Fatamed
Gender,Female,Irgain Fatamed
Eyes,Bright blue,Irgain Fatamed
First appeared,TPOD Prologue,Irgain Fatamed
Last appeared,TPOD Prologue,Irgain Fatamed
Last mentioned,KOD Prologue,Irgain Fatamed
Affiliation,The Dragon Reborn,Irgain Fatamed
Rank,Aes Sedai,Irgain Fatamed
Ajah,Green Ajah,Irgain Fatamed
Nationality,Altaran,Tarna Feir
Date of birth,950 NE,Tarna Feir
Current status,Alive,Tarna Feir
Gender,Female,Tarna Feir
Hair,Pale yellow,Tarna Feir
Eyes,Blue,Tarna Feir
First appeared,NS 3,Tarna Feir
Last appeared,AMOL 14,Tarna Feir
Last mentioned,AMOL 14,Tarna Feir
Affiliation,The Shadow,Tarna Feir
Rank,Aes Sedai,Tarna Feir
Ajah,Red Ajah,Tarna Feir
Nationality,Cairhienin,Fellsy
Current status,Alive,Fellsy
Gender,Female,Fellsy
First mentioned,The Wheel of Time Roleplaying Game,Fellsy
Occupation,Maid,Fellsy
Nationality,Andoran,Millis Fendry
Current status,Alive,Millis Fendry
Gender,Female,Millis Fendry
First mentioned,COT 14,Millis Fendry
Last mentioned,COT 14,Millis Fendry
Occupation,Innkeeper,Millis Fendry
Nationality,Aiel,Feraighin
Current status,Alive,Feraighin
Gender,Female,Feraighin
Hair,Red,Feraighin
First appeared,ACOS 3,Feraighin
Last appeared,ACOS 3,Feraighin
Affiliation,Car'a'carn,Feraighin
Occupation,Wise One,Feraighin
Clan,Unknown clan,Feraighin
Sept,Unknown sept,Feraighin
Nationality,Andoran,Dagdara Finchey
Date of birth,848 NE,Dagdara Finchey
Current status,Unknown,Dagdara Finchey
Gender,Female,Dagdara Finchey
Height,Tall,Dagdara Finchey
Build,Wide,Dagdara Finchey
Hair,Graying,Dagdara Finchey
First appeared,TFOH 50,Dagdara Finchey
Last appeared,LOC 30,Dagdara Finchey
Last mentioned,TGS 39,Dagdara Finchey
Affiliation,Black Ajah,Dagdara Finchey
Rank,Aes Sedai,Dagdara Finchey
Ajah,Yellow Ajah,Dagdara Finchey
Nationality,Andoran,Lady Finndal
Current status,Alive,Lady Finndal
Gender,Female,Lady Finndal
First mentioned,TGS 10,Lady Finndal
Last mentioned,TGS 10,Lady Finndal
Occupation,Lady,Lady Finndal
Nationality,Taraboner,Andaya Forae
Current status,Alive,Andaya Forae
Gender,Female,Andaya Forae
Height,Average,Andaya Forae
Build,Thin,Andaya Forae
Hair,"Light Brown, Very long, Gleaming",Andaya Forae
First appeared,TFOH Prologue,Andaya Forae
Last appeared,TOM 27,Andaya Forae
Affiliation,White Tower,Andaya Forae
Occupation,Sitter,Andaya Forae
Rank,Aes Sedai,Andaya Forae
Ajah,Gray Ajah,Andaya Forae
Nationality,Ghealdanin,Nalaene Forrell
Current status,Unknown,Nalaene Forrell
Gender,Female,Nalaene Forrell
First mentioned,TGS 39,Nalaene Forrell
Last mentioned,TGS 39,Nalaene Forrell
Affiliation,Black Ajah,Nalaene Forrell
Rank,Aes Sedai,Nalaene Forrell
Ajah,Yellow Ajah,Nalaene Forrell
Nationality,Unknown nationality,Julanya Fote
Current status,Alive,Julanya Fote
Gender,Female,Julanya Fote
Build,Plump,Julanya Fote
Hair,"Dark, touches of white",Julanya Fote
First mentioned,COT 14,Julanya Fote
First appeared,KOD 32,Julanya Fote
Last appeared,KOD 32,Julanya Fote
Last mentioned,TOM 31,Julanya Fote
Affiliation,The Kin,Julanya Fote
Date of birth,5 September,User:FoxMists
Date of death,Eventual,User:FoxMists
Current status,Alive,User:FoxMists
Gender,Female,User:FoxMists
Hair color,"Long, Curly, Auburn",User:FoxMists
Eye color,Intense & Hazel,User:FoxMists
Occupation,Writer,User:FoxMists
Rank,Wordsmith,User:FoxMists
Nationality,Domani,Careane Fransi
Date of death,1000 NE,Careane Fransi
Current status,Dead,Careane Fransi
Gender,Female,Careane Fransi
Height,"5'5"" or 166 cm",Careane Fransi
Build,Stout,Careane Fransi
First appeared,ACOS 30,Careane Fransi
Last appeared,KOD 31,Careane Fransi
Last mentioned,TOM 17,Careane Fransi
Affiliation,Black Ajah,Careane Fransi
Rank,Aes Sedai,Careane Fransi
Ajah,Green Ajah,Careane Fransi
Nationality,Illianer,Keb Freehan
Current status,Alive,Keb Freehan
Gender,Female,Keb Freehan
First mentioned,The Wheel of Time Roleplaying Game,Keb Freehan
Occupation,Hunter of the Horn,Keb Freehan
Nationality,Amadician,Alviarin Freidhen
Current status,Alive,Alviarin Freidhen
Gender,Female,Alviarin Freidhen
Height,Tall,Alviarin Freidhen
Build,Slim,Alviarin Freidhen
First appeared,TGH 12,Alviarin Freidhen
Last appeared,AMOL 42,Alviarin Freidhen
Affiliation,Black Ajah,Alviarin Freidhen
Occupation,Dreadlord,Alviarin Freidhen
Rank,Aes Sedai,Alviarin Freidhen
Ajah,White Ajah,Alviarin Freidhen
Nationality,Andoran,Janya Frende
Date of birth,816 NE,Janya Frende
Current status,Alive,Janya Frende
Gender,Female,Janya Frende
Build,Slim,Janya Frende
Hair,"Short, Dark",Janya Frende
First appeared,LOC Prologue,Janya Frende
Last appeared,TOM 27,Janya Frende
Affiliation,White Tower,Janya Frende
Occupation,Sitter,Janya Frende
Rank,Aes Sedai,Janya Frende
Ajah,Brown Ajah,Janya Frende
Nationality,Kandori,Shevan Gadarin
Date of birth,843 NE,Shevan Gadarin
Date of death,1000 NE,Shevan Gadarin
Current status,Dead,Shevan Gadarin
Gender,Female,Shevan Gadarin
Height,Tall,Shevan Gadarin
Build,Thin,Shevan Gadarin
First appeared,TPOD 25,Shevan Gadarin
Last appeared,TGS 46,Shevan Gadarin
Last mentioned,TOM 38,Shevan Gadarin
Affiliation,White Tower,Shevan Gadarin
Occupation,Sitter,Shevan Gadarin
Rank,Aes Sedai,Shevan Gadarin
Ajah,Brown Ajah,Shevan Gadarin
Nationality,Andoran,Edelle Gaelin
Current status,Alive,Edelle Gaelin
Gender,Female,Edelle Gaelin
Build,Slender,Edelle Gaelin
Hair,"Gray, long, braided",Edelle Gaelin
First mentioned,TSR 56,Edelle Gaelin
First appeared,LOC Prologue,Edelle Gaelin
Last appeared,LOC Prologue,Edelle Gaelin
Affiliation,Two Rivers,Edelle Gaelin
Occupation,Healer,Edelle Gaelin
Title,Wisdom,Edelle Gaelin
Nationality,Unknown nationality,Daria Gahand
Current status,Dead,Daria Gahand
Gender,Female,Daria Gahand
First mentioned,LOC 50,Daria Gahand
Last mentioned,LOC 50,Daria Gahand
Occupation,Author,Daria Gahand
Nationality,Sharan,Galbrait
Current status,Alive,Galbrait
Gender,Female,Galbrait
Last appeared,A Memory of Light,Galbrait
Affiliation,Bao the Wyld,Galbrait
Rank,Ayyad,Galbrait
Nationality,Unknown nationality,Ryma Galfrey
Date of birth,902 NE,Ryma Galfrey
Current status,Alive,Ryma Galfrey
Gender,Female,Ryma Galfrey
Build,Slim,Ryma Galfrey
Hair,Dark,Ryma Galfrey
Eyes,Blue,Ryma Galfrey
First mentioned,NS 6,Ryma Galfrey
First appeared,NS 11,Ryma Galfrey
Last appeared,WH 28,Ryma Galfrey
Affiliation,Seanchan,Ryma Galfrey
Occupation,Damane,Ryma Galfrey
Rank,Aes Sedai,Ryma Galfrey
Ajah,Yellow Ajah,Ryma Galfrey
Nationality,Unknown nationality,Gallanha
Current status,Alive,Gallanha
Gender,Female,Gallanha
Hair,Golden,Gallanha
First appeared,TGS Prologue,Gallanha
Last appeared,TGS Prologue,Gallanha
Nationality,Far Madding,Gallger
Current status,Alive,Gallger
Gender,Female,Gallger
First appeared,WH 32,Gallger
Last appeared,WH 32,Gallger
Occupation,Innkeeper,Gallger
Nationality,Illianer,Hattori Gatano
Current status,Alive,Hattori Gatano
Gender,Female,Hattori Gatano
First mentioned,TGS 13,Hattori Gatano
Last mentioned,TOM 5,Hattori Gatano
Affiliation,White Tower,Hattori Gatano
Rank,Aes Sedai,Hattori Gatano
Ajah,Green Ajah,Hattori Gatano
Nationality,Saldaean,Toveine Gazal
Date of birth,811NE,Toveine Gazal
Current status,Unknown,Toveine Gazal
Gender,Female,Toveine Gazal
Height,Short,Toveine Gazal
Weight,Slightly plump,Toveine Gazal
Hair,"Dark, long, glossy",Toveine Gazal
Eyes,Dark,Toveine Gazal
First mentioned,ACOS Prologue,Toveine Gazal
First appeared,TPOD 26,Toveine Gazal
Last appeared,AMOL 14,Toveine Gazal
Last mentioned,AMOL 37,Toveine Gazal
Affiliation,The Shadow,Toveine Gazal
Rank,Aes Sedai,Toveine Gazal
Ajah,Red Ajah,Toveine Gazal
Nationality,Unknown nationality,Gelarna
Current status,Alive,Gelarna
Gender,Female,Gelarna
Build,Short,Gelarna
First appeared,TGS 6,Gelarna
Last appeared,TGS 6,Gelarna
Affiliation,White Tower,Gelarna
Rank,Aes Sedai,Gelarna
Ajah,Yellow Ajah,Gelarna
Nationality,Taraboner,Bernaile Gelbarn
Current status,Alive,Bernaile Gelbarn
Gender,Female,Bernaile Gelbarn
Build,Stocky,Bernaile Gelbarn
Hair,Braided with beads,Bernaile Gelbarn
First mentioned,TPOD 26,Bernaile Gelbarn
First appeared,COT Prologue,Bernaile Gelbarn
Last appeared,COT Prologue,Bernaile Gelbarn
Affiliation,White Tower,Bernaile Gelbarn
Rank,Aes Sedai,Bernaile Gelbarn
Ajah,White Ajah,Bernaile Gelbarn
Nationality,Atha'an Miere,Caire din Gelyn Running Wave
Current status,Alive,Caire din Gelyn Running Wave
Gender,Female,Caire din Gelyn Running Wave
Eyes,Dark,Caire din Gelyn Running Wave
First appeared,TPOD 5,Caire din Gelyn Running Wave
Last appeared,KOD 22,Caire din Gelyn Running Wave
Affiliation,Atha'an Miere,Caire din Gelyn Running Wave
Rank,Windfinder,Caire din Gelyn Running Wave
Nationality,Atha'an Miere,Tebreille din Gelyn South Wind
Current status,Alive,Tebreille din Gelyn South Wind
Gender,Female,Tebreille din Gelyn South Wind
Eyes,"Big, dark",Tebreille din Gelyn South Wind
First appeared,TPOD 5,Tebreille din Gelyn South Wind
Last appeared,KOD 22,Tebreille din Gelyn South Wind
Affiliation,Atha'an Miere,Tebreille din Gelyn South Wind
Rank,Windfinder,Tebreille din Gelyn South Wind
Nationality,Sea Folk,Talaan din Gelyn
Date of birth,981 NE,Talaan din Gelyn
Current status,Alive,Talaan din Gelyn
Gender,Female,Talaan din Gelyn
Build,Very slim,Talaan din Gelyn
First appeared,ACOS 37,Talaan din Gelyn
Last appeared,AMOL 42,Talaan din Gelyn
Last mentioned,AMOL 42,Talaan din Gelyn
Occupation,Windfinder,Talaan din Gelyn
Nationality,Andoran,Marillin Gemalphin
Date of birth,848 NE,Marillin Gemalphin
Current status,Unknown,Marillin Gemalphin
Gender,Female,Marillin Gemalphin
Build,Skinny,Marillin Gemalphin
Hair,"Brown, lifeless",Marillin Gemalphin
Eyes,"Blue, dreamy",Marillin Gemalphin
First mentioned,TDR 25,Marillin Gemalphin
First appeared,TSR 38,Marillin Gemalphin
Last appeared,KOD 33,Marillin Gemalphin
Last mentioned,TOM 24,Marillin Gemalphin
Affiliation,Black Ajah,Marillin Gemalphin
Occupation,Dreadlord,Marillin Gemalphin
Rank,Aes Sedai,Marillin Gemalphin
Ajah,Brown Ajah,Marillin Gemalphin
Nationality,Unknown nationality,Gera
Current status,Alive,Gera
Gender,Female,Gera
Build,Fat,Gera
First appeared,LOC 7,Gera
Last appeared,LOC 7,Gera
Affiliation,Rebel Aes Sedai,Gera
Occupation,Cook,Gera
Nationality,Seanchan,Gerisch
Current status,Alive,Gerisch
Gender,Female,Gerisch
First appeared,AMOL 37,Gerisch
Last appeared,AMOL 37,Gerisch
Affiliation,Ever Victorious Army,Gerisch
Occupation,Soldier,Gerisch
Rank,Banner-General,Gerisch
Nationality,Unknown nationality,Esmara Getares
Current status,Dead,Esmara Getares
Gender,Female,Esmara Getares
First mentioned,LOC 26,Esmara Getares
Last mentioned,LOC 26,Esmara Getares
Title,Lady,Esmara Getares
Rank,Lady,Esmara Getares
Nationality,Unknown nationality,Zenare Ghodar
Current status,Alive,Zenare Ghodar
Gender,Female,Zenare Ghodar
Build,Plump,Zenare Ghodar
First appeared,LOC 30,Zenare Ghodar
Last appeared,LOC 30,Zenare Ghodar
Affiliation,White Tower,Zenare Ghodar
Rank,Aes Sedai,Zenare Ghodar
Ajah,Yellow Ajah,Zenare Ghodar
Nationality,Andoran,Gilda
Current status,Alive,Gilda
Gender,Female,Gilda
First appeared,TEOTW 41,Gilda
Last appeared,TEOTW 41,Gilda
Last mentioned,TDR 47,Gilda
Occupation,Maid,Gilda
Nationality,Andoran,Sergase Gilbearn
Current status,Alive,Sergase Gilbearn
Gender,Female,Sergase Gilbearn
Height,Small,Sergase Gilbearn
Build,Slim,Sergase Gilbearn
Hair,"Dark, touches of white",Sergase Gilbearn
First mentioned,LOC 28,Sergase Gilbearn
First appeared,KOD 17,Sergase Gilbearn
Last mentioned,KOD 32,Sergase Gilbearn
Affiliation,House Trakand,Sergase Gilbearn
Title,Lady,Sergase Gilbearn
Nationality,Seanchan,Gille
Date of death,1000 NE,Gille
Current status,Dead,Gille
Gender,Female,Gille
Hair,Pale,Gille
First appeared,TPOD 22,Gille
Last appeared,TPOD 23,Gille
Affiliation,Ever Victorious Army,Gille
Occupation,Damane,Gille
Nationality,Unknown nationality,Gillin
Current status,Alive,Gillin
Gender,Female,Gillin
First appeared,WH 15,Gillin
Last appeared,WH 15,Gillin
Affiliation,Valan Luca,Gillin
Occupation,Entertainer,Gillin
Nationality,Unknown nationality,Mairin Gome
Current status,Alive,Mairin Gome
Gender,Female,Mairin Gome
First mentioned,TFOH 36,Mairin Gome
Last mentioned,TFOH 38,Mairin Gome
Occupation,Entertainer,Mairin Gome
Nationality,Unknown nationality,Shana Goridien
Date of birth,882 NE,Shana Goridien
Current status,Alive,Shana Goridien
Gender,Female,Shana Goridien
Eyes,Bulging,Shana Goridien
First appeared,LOC 40,Shana Goridien
Last appeared,COT 19,Shana Goridien
Affiliation,White Tower,Shana Goridien
Rank,Aes Sedai,Shana Goridien
Ajah,White Ajah,Shana Goridien
Nationality,Kandori,Valera Gorovni
Date of birth,748 NE,Valera Gorovni
Date of death,979 NE,Valera Gorovni
Current status,Dead,Valera Gorovni
Gender,Female,Valera Gorovni
Height,Little,Valera Gorovni
Build,Plump,Valera Gorovni
First appeared,NS 7,Valera Gorovni
Last appeared,NS 8,Valera Gorovni
Last mentioned,NS 18,Valera Gorovni
Affiliation,White Tower,Valera Gorovni
Rank,Aes Sedai,Valera Gorovni
Ajah,Brown Ajah,Valera Gorovni
Nationality,Unknown nationality,Sora Grady
Current status,Alive,Sora Grady
Gender,Female,Sora Grady
Build,Plump,Sora Grady
First appeared,LOC 3,Sora Grady
Last appeared,LOC 42,Sora Grady
Last mentioned,AMOL 40,Sora Grady
Date of birth,Age of Legends,Graendal
Date of death,1000 NE,Graendal
Current status,Dead,Graendal
Gender,Female,Graendal
Build,Voluptuous,Graendal
Hair,"Red-gold, curled",Graendal
First mentioned,TSR 58,Graendal
First appeared,TFOH Prologue,Graendal
Last appeared,TOM Epilogue,Graendal
Last mentioned,AMOL 25,Graendal
Rank,Chosen,Graendal
Nationality,Seanchan,Gregana
Date of death,1000 NE,Gregana
Current status,Dead,Gregana
Gender,Female,Gregana
First appeared,TGS 40,Gregana
Last appeared,TGS 40,Gregana
Occupation,Sul'dam,Gregana
Nationality,Andor,Else Grinwell
Current status,Alive,Else Grinwell
Gender,Female,Else Grinwell
Weight,Plump,Else Grinwell
Hair,Dark,Else Grinwell
First appeared,TEOTW 31,Else Grinwell
Last appeared,TGH 39,Else Grinwell
Last mentioned,TSR 6,Else Grinwell
Nationality,Andoran,Mistress Grinwell
Current status,Alive,Mistress Grinwell
Gender,Female,Mistress Grinwell
Hair,Yellow,Mistress Grinwell
First appeared,TEOTW 31,Mistress Grinwell
Last appeared,TEOTW 31,Mistress Grinwell
Occupation,Farmer,Mistress Grinwell
Nationality,Andoran,Grubb
Current status,Alive,Grubb
Gender,Female,Grubb
First mentioned,TEOTW 39,Grubb
Last mentioned,TEOTW 41,Grubb
Occupation,Healer,Grubb
Nationality,Tairen,Ailhuin Guenna
