name,height_in,gender,birth_year,birth_age,death_year,death_age,years_alive,hair,series
Einone,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dorile din Eiran Long Feather,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elansu,NA,Female,NA,NA,NA,NA,NA,Black,wot
Elayna,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marce Eldin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Eldrene ay Ellan ay Carlan,NA,Female,1140,AB,1200,AB,60,NA,wot
Nemaira Eldros,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elenar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aleria Elffin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elienda,NA,Female,NA,NA,1000,NE,NA,NA,wot
Elis,NA,Female,NA,NA,NA,NA,NA,NA,wot
Eliya,NA,Female,NA,NA,1000,NE,NA,NA,wot
Ella (Ogier),NA,Female,NA,NA,NA,NA,NA,NA,wot
Ella (servant),NA,Female,NA,NA,NA,NA,NA,NA,wot
Ellaine Marise'idin Alshinn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elle,NA,Female,NA,NA,NA,NA,NA,Fair,wot
Ellizelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lydel Elonid,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elora,NA,Female,NA,NA,NA,NA,NA,NA,wot
"Elsbet, the Queen of All",NA,Female,NA,NA,NA,NA,NA,NA,wot
Elsie,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Elswell,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lini Eltring,NA,Female,NA,NA,NA,NA,NA,White,wot
Moria Elward,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elynde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Renna Emain,NA,Female,NA,NA,1000,NE,NA,Brown,wot
Emara,NA,Female,968,NE,NA,NA,NA,NA,wot
Carniele Emares,NA,Female,NA,NA,NA,NA,NA,NA,wot
Emerys,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chesmal Emry,NA,Female,NA,NA,1000,NE,NA,Dark,wot
Enaila,NA,Female,NA,NA,NA,NA,NA,Red,wot
Enid,NA,Female,NA,NA,NA,NA,NA,NA,wot
Medanor Eramandos,NA,Female,NA,NA,171,NE,NA,NA,wot
Demira Eriff,NA,Female,930,NE,NA,NA,NA,NA,wot
Erith,NA,Female,NA,NA,NA,NA,NA,Black,wot
Suilin Escanda,NA,Female,NA,NA,422,NE,NA,NA,wot
Meidani Eschede,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Esne,NA,Female,NA,NA,NA,NA,NA,NA,wot
Esole,NA,Female,NA,NA,NA,NA,NA,NA,wot
Essande,NA,Female,NA,NA,NA,NA,NA,White,wot
Essonde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Estair,NA,Female,NA,NA,NA,NA,NA,Red,wot
Estalaine,NA,Female,NA,NA,1000,NE,NA,NA,wot
Estanda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ethenielle Kirukon Materasu,64,Female,946,NE,NA,NA,NA,Black,wot
Evasni,NA,Female,NA,NA,NA,NA,NA,Red,wot
Faeral din Rao,NA,Female,NA,NA,NA,NA,NA,NA,wot
Falendre,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Auaine Fanwar,NA,Female,NA,NA,NA,NA,NA,Silver,wot
Karella Fanway,NA,Female,NA,NA,NA,NA,NA,NA,wot
Farellien,NA,Female,NA,NA,NA,NA,NA,NA,wot
Saroiya Farseen,64,Female,857,NE,NA,NA,NA,Brown,wot
Min Farshaw,65,Female,975,NE,NA,NA,NA,Brown,wot
Irgain Fatamed,NA,Female,931,NE,NA,NA,NA,NA,wot
Tarna Feir,NA,Female,950,NE,NA,NA,NA,Yellow,wot
Fellsy,NA,Female,NA,NA,NA,NA,NA,NA,wot
Millis Fendry,NA,Female,NA,NA,NA,NA,NA,NA,wot
Feraighin,NA,Female,NA,NA,NA,NA,NA,Red,wot
Dagdara Finchey,NA,Female,848,NE,NA,NA,NA,Gray,wot
Lady Finndal,NA,Female,NA,NA,NA,NA,NA,NA,wot
Andaya Forae,NA,Female,NA,NA,NA,NA,NA,Brown,wot
Nalaene Forrell,NA,Female,NA,NA,NA,NA,NA,NA,wot
Julanya Fote,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Careane Fransi,65,Female,NA,NA,1000,NE,NA,NA,wot
Keb Freehan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alviarin Freidhen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Janya Frende,NA,Female,816,NE,NA,NA,NA,Dark,wot
Shevan Gadarin,NA,Female,843,NE,1000,NE,157,NA,wot
Edelle Gaelin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Daria Gahand,NA,Female,NA,NA,NA,NA,NA,NA,wot
Galbrait,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ryma Galfrey,NA,Female,902,NE,NA,NA,NA,Dark,wot
Gallanha,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Gallger,NA,Female,NA,NA,NA,NA,NA,NA,wot
Hattori Gatano,NA,Female,NA,NA,NA,NA,NA,NA,wot
Toveine Gazal,NA,Female,811,NE,NA,NA,NA,Dark,wot
Gelarna,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bernaile Gelbarn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Caire din Gelyn Running Wave,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tebreille din Gelyn South Wind,NA,Female,NA,NA,NA,NA,NA,NA,wot
Talaan din Gelyn,NA,Female,981,NE,NA,NA,NA,NA,wot
Marillin Gemalphin,NA,Female,848,NE,NA,NA,NA,Brown,wot
Gera,NA,Female,NA,NA,NA,NA,NA,NA,wot
Gerisch,NA,Female,NA,NA,NA,NA,NA,NA,wot
Esmara Getares,NA,Female,NA,NA,NA,NA,NA,NA,wot
Zenare Ghodar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Gilda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sergase Gilbearn,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Gille,NA,Female,NA,NA,1000,NE,NA,NA,wot
Gillin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mairin Gome,NA,Female,NA,NA,NA,NA,NA,NA,wot
Shana Goridien,NA,Female,882,NE,NA,NA,NA,NA,wot
Valera Gorovni,NA,Female,748,NE,979,NE,231,NA,wot
Sora Grady,NA,Female,NA,NA,NA,NA,NA,NA,wot
Graendal,NA,Female,-500,AB,1000,NE,3985,Red,wot
Gregana,NA,Female,NA,NA,1000,NE,NA,NA,wot
Else Grinwell,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Mistress Grinwell,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Grubb,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ailhuin Guenna,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Liandrin Guirale,NA,Female,964,NE,NA,NA,NA,Red,wot
Guisin,NA,Female,NA,NA,NA,NA,NA,Silver,wot
Gyldan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Hadora,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kera Haellin,NA,Female,NA,NA,NA,NA,NA,Fair,wot
Catalyn Haevin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Evelle Haevin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Rina Hafden,NA,Female,923,NE,NA,NA,NA,NA,wot
Merise Haindehl,NA,Female,798,NE,NA,NA,NA,Dark,wot
Hamada,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lady Hamarashle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Escaralde Hamdey,NA,Female,NA,NA,NA,NA,NA,NA,wot
Faeldrin Harella,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Reene Harfor,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Harilin,NA,Female,NA,NA,NA,NA,NA,Red,wot
Maryl Harke,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bera Harkin,NA,Female,NA,NA,NA,NA,NA,Brown,wot
Yukiri Haruna,NA,Female,837,NE,NA,NA,NA,NA,wot
Mailaine Harvole,NA,Female,NA,NA,NA,NA,NA,NA,wot
Biranca Hasad,NA,Female,NA,NA,NA,NA,NA,NA,wot
Hashala,NA,Female,NA,NA,NA,NA,NA,Black,wot
Hayde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Razina Hazzan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Heidia,NA,Female,NA,NA,NA,NA,NA,NA,wot
Heilin,NA,Female,NA,NA,NA,NA,NA,Black,wot
Seaine Herimon,NA,Female,841,NE,NA,NA,NA,Black,wot
Hessalam,NA,Female,NA,NA,NA,NA,NA,NA,wot
Corele Hovian,NA,Female,NA,NA,NA,NA,NA,Black,wot
Mistress Huldin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ianelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ibrella,NA,Female,980,NE,NA,NA,NA,NA,wot
Ieine,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Ifeyina,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ila,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Illeisien,NA,Female,NA,NA,NA,NA,NA,NA,wot
Inala,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ines,NA,Female,NA,NA,NA,NA,NA,NA,wot
Iona,NA,Female,NA,NA,NA,NA,NA,NA,wot
Irella,NA,Female,NA,NA,NA,NA,NA,NA,wot
Isan,NA,Female,NA,NA,1000,NE,NA,NA,wot
Isebele,NA,Female,NA,NA,NA,NA,NA,NA,wot
Isendre,NA,Female,NA,NA,999,NE,NA,Dark,wot
Tamsin Ituralde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Iva,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ivara,NA,Female,664,NE,NA,NA,NA,NA,wot
Jadein,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marith Jaen,NA,Female,700,NE,988,NE,288,NA,wot
Amalisa Jagad,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Jair,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jalani,NA,Female,983,NE,NA,NA,NA,NA,wot
Jalindin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jalys,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jameine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Janina,NA,Female,NA,NA,NA,NA,NA,NA,wot
Janira,NA,Female,NA,NA,1000,NE,NA,Gray,wot
Janny,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lisaine Jarath,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Jarene,NA,Female,966,NE,NA,NA,NA,NA,wot
Jasmen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jendhilin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jennet (Murandian noble),NA,Female,NA,NA,NA,NA,NA,NA,wot
Jera,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jesain,NA,Female,NA,NA,NA,NA,NA,Red,wot
Jesamyn,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Jezrail,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Jharen,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Eldrith Jhondar,NA,Female,884,NE,1000,NE,116,NA,wot
Jillari,NA,Female,NA,NA,NA,NA,NA,Red,wot
Jillien,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jini,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Jinjin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Joinde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jolien,NA,Female,NA,NA,999,NE,NA,Red,wot
Jonasim,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jorath,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tesien Jorhald,NA,Female,NA,NA,NA,NA,NA,NA,wot
Josaine,NA,Female,NA,NA,1000,NE,NA,NA,wot
Famelle Juarde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jorin din Jubai White Wing,NA,Female,NA,NA,NA,NA,NA,NA,wot
Coine din Jubai Wild Winds,NA,Female,NA,NA,NA,NA,NA,Black,wot
Juendan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Metarra din Junalle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marasale Jureen,NA,Female,NA,NA,732,NE,NA,NA,wot
Kainea,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Kaisea,NA,Female,NA,NA,NA,NA,NA,Black,wot
Vayelle Kamsa,NA,Female,914,NE,NA,NA,NA,NA,wot
Kanara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kalia Karede,NA,Female,NA,NA,NA,NA,NA,NA,wot
Moria Karentanis,NA,Female,840,NE,1000,NE,160,NA,wot
Sumeko Karistovan,NA,Female,598,NE,NA,NA,NA,NA,wot
Kasi,NA,Female,NA,NA,NA,NA,NA,NA,wot
Katerin,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Kathana,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kati,NA,Female,NA,NA,NA,NA,NA,NA,wot
Nacelle Kayama,NA,Female,855,NE,1000,NE,145,NA,wot
Shivena Kayenzi,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kaylin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tenobia si Bashere Kazadi,NA,Female,975,NE,1000,NE,25,NA,wot
Keatlin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Keene,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kema,NA,Female,NA,NA,NA,NA,NA,Black,wot
Rashima Kerenmosa,NA,Female,1150,AB,1301,AB,151,NA,wot
Reiko Kerevon,NA,Female,827,NE,NA,NA,NA,Dark,wot
Tylee Khirgan,68,Female,NA,NA,NA,NA,NA,Black,wot
Alliandre Maritha Kigarin,NA,Female,972,NE,NA,NA,NA,Dark,wot
Temaile Kinderode,NA,Female,NA,NA,1000,NE,NA,Dark,wot
Kirin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kirukan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Gerra Kishar,NA,Female,NA,NA,638,NE,NA,NA,wot
Kitan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kiyoshi,NA,Female,NA,NA,NA,NA,NA,NA,wot
Krisa,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kryalyn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kumiko,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Kurin din Calin Red Sails,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kymer,NA,Female,NA,NA,NA,NA,NA,Red,wot
Lacine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ladalin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lady Ells of Saldaea,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lady Torkumen,NA,Female,NA,NA,1000,NE,NA,NA,wot
Lairain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lamelle,NA,Female,NA,NA,999,NE,NA,Red,wot
Lanelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lanfear,NA,Female,-500,AB,999,NE,3984,Black,wot
Lanita,NA,Female,977,NE,NA,NA,NA,NA,wot
Lannis,NA,Female,NA,NA,NA,NA,NA,NA,wot
Laras,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Laren,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mirane Larinen,NA,Female,NA,NA,1000,NE,NA,NA,wot
Annoura Larisen,NA,Female,838,NE,NA,NA,NA,Dark,wot
Atuan Larisett,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Laritha,NA,Female,NA,NA,NA,NA,NA,NA,wot
Serenia Latar,NA,Female,NA,NA,306,NE,NA,NA,wot
Laurain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Leeh,NA,Female,NA,NA,NA,NA,NA,NA,wot
Leich,NA,Female,NA,NA,NA,NA,NA,NA,wot
Leilwin (Taraboner),NA,Female,NA,NA,NA,NA,NA,NA,wot
Leish,NA,Female,NA,NA,NA,NA,NA,White,wot
Leitha,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lemore Genhal,NA,Female,980,NE,NA,NA,NA,NA,wot
Lerian,NA,Female,NA,NA,NA,NA,NA,Sandy,wot
Adine Lewin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Emry Lewin,NA,Female,985,NE,NA,NA,NA,NA,wot
Jillie Lewin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Laila Lewin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maddy Lewin,NA,Female,983,NE,NA,NA,NA,NA,wot
Leya,NA,Female,NA,NA,999,NE,NA,Gray,wot
Leyn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Liah,NA,Female,NA,NA,1000,NE,NA,NA,wot
Lian,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Lidan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lidya,NA,Female,NA,NA,NA,NA,NA,Red,wot
Lifa,NA,Female,NA,NA,1000,NE,NA,NA,wot
Lincora din Omen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lindsar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lira,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lisandre,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Bryna Lisbet,NA,Female,NA,NA,NA,NA,NA,NA,wot
Llana,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kiam Lopiang,NA,Female,NA,NA,NA,NA,NA,NA,wot
Loral,NA,Female,NA,NA,NA,NA,NA,NA,wot
Evanellein Lorn,NA,Female,855,NE,1000,NE,145,NA,wot
Losaine,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Amathera Aelfdene Casmir Lounault,NA,Female,974,NE,NA,NA,NA,NA,wot
Loya,NA,Female,NA,NA,NA,NA,NA,NA,wot
Luaine,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Latelle Luca,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Lucain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Catala Lucanvalle,NA,Female,NA,NA,250,NE,NA,NA,wot
Luci,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Lucilde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ludin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alsbet Luhhan,NA,Female,955,NE,NA,NA,NA,NA,wot
Igaine Luin,NA,Female,NA,NA,520,NE,NA,NA,wot
Lusara,NA,Female,NA,NA,NA,NA,NA,Black,wot
Haesel Lusara,NA,Female,878,NE,NA,NA,NA,Black,wot
Larissa Lyndel,NA,Female,NA,NA,1000,NE,NA,NA,wot
Lyndelle,NA,Female,NA,NA,30,NE,NA,NA,wot
Mabriam en Shereed,NA,Female,NA,NA,NA,NA,NA,NA,wot
Caraighan Maconar,NA,Female,212,AB,373,AB,161,NA,wot
Macu,NA,Female,NA,NA,1000,NE,NA,NA,wot
Ronde Macura,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Mada,NA,Female,NA,NA,NA,NA,NA,NA,wot
Juilaine Madome,NA,Female,903,NE,NA,NA,NA,Black,wot
Maglin Madwen,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Maenadrin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maerin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maigan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maigran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mair,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maira,NA,Female,NA,NA,NA,NA,NA,Red,wot
Mala,NA,Female,NA,NA,NA,NA,NA,NA,wot
Malahavana,NA,Female,NA,NA,NA,NA,NA,NA,wot
Malai,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jarna Malari,66,Female,NA,NA,983,NE,NA,Black,wot
Aledrin Malenry,NA,Female,NA,NA,NA,NA,NA,Golden,wot
Malian,NA,Female,NA,NA,NA,NA,NA,NA,wot
Malidra,NA,Female,NA,NA,NA,NA,NA,NA,wot
Malindare,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Malindhe,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mavra Mallen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Willa Mandair,NA,Female,NA,NA,NA,NA,NA,NA,wot
Breyan Mandragoran,NA,Female,NA,NA,955,P,NA,NA,wot
El'Leanna Mandragoran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elnore Mandragoran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mordrellen Mantear,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tigraine Mantear,NA,Female,950,NE,978,NE,28,Golden,wot
Maragaine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marah,NA,Female,NA,NA,NA,NA,NA,NA,wot
Maralenda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mareil,NA,Female,NA,NA,NA,NA,NA,Black,wot
Corgaide Marendevin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Therva Maresis,NA,Female,862,NE,NA,NA,NA,NA,wot
Marewin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mari,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marille,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marinna,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aeldrine Marinye,NA,Female,NA,NA,NA,NA,NA,NA,wot
Beonin Marinye,NA,Female,936,NE,NA,NA,NA,Dark,wot
Beryl Marle,NA,Female,NA,NA,533,NE,NA,NA,wot
Marline,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Arymilla Marne,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cerilla Marodred,NA,Female,NA,NA,476,NE,NA,NA,wot
Marsial,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alrom Marsim,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elvaine Martan,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Marthea,NA,Female,NA,NA,1000,NE,NA,NA,wot
Marthera,NA,Female,NA,NA,NA,NA,NA,NA,wot
Rabayn Marushta,NA,Female,NA,NA,36,NE,NA,NA,wot
Elise Marwin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Noane Masadim,NA,Female,NA,NA,973,NE,NA,NA,wot
Masalin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Narvais Maslin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Materese the Healer,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mathena,NA,Female,NA,NA,NA,NA,NA,NA,wot
Danella Mathendrin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Nelein Matherin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Verin Mathwin,NA,Female,849,NE,1000,NE,151,Brown,wot
Matilde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Annharid Matoun,NA,Female,894,NE,NA,NA,NA,Black,wot
Mayam Colona,NA,Female,960,NE,NA,NA,NA,NA,wot
Maylin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mayv Gilyard,NA,Female,NA,NA,NA,NA,NA,NA,wot
Joline Maza,NA,Female,899,NE,NA,NA,NA,NA,wot
Cabriana Mecandes,NA,Female,911,NE,999,NE,88,Golden,wot
Elspeth Mecandes,NA,Female,NA,NA,NA,NA,NA,NA,wot
Holleen Mecandes,NA,Female,NA,NA,NA,NA,NA,NA,wot
Rosara Medrano,NA,Female,NA,NA,NA,NA,NA,Black,wot
Megana,NA,Female,NA,NA,NA,NA,NA,NA,wot
Megda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meira,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meise,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cadsuane Melaidhrin,65,Female,705,NE,NA,NA,NA,Gray,wot
Melaine,NA,Female,890,NE,NA,NA,NA,Golden,wot
Melare,NA,Female,NA,NA,NA,NA,NA,NA,wot
Melasune,NA,Female,NA,NA,1046,FY,NA,NA,wot
Suroth Sabelle Meldarath,65,Female,NA,NA,NA,NA,NA,Dark,wot
Melia,NA,Female,NA,NA,NA,NA,NA,NA,wot
Melindhra,NA,Female,NA,NA,999,NE,NA,Golden,wot
Melisinde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Melitene,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Sharina Melloy,NA,Female,933,NE,NA,NA,NA,Gray,wot
Melore,NA,Female,NA,NA,1000,NE,NA,NA,wot
Melvara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kirin Melway,NA,Female,NA,NA,950,NE,NA,NA,wot
Memara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Idrelle Menford,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mera,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bonwhin Meraighdin,NA,Female,738,FY,996,FY,258,NA,wot
Merale,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meramor,NA,Female,NA,NA,NA,NA,NA,NA,wot
Turanine Merdagon,NA,Female,NA,NA,957,NE,NA,White,wot
Nalasia Merhan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meri,NA,Female,NA,NA,1000,NE,NA,Dark,wot
Merici,NA,Female,NA,NA,NA,NA,NA,NA,wot
Renala Merlon,NA,Female,NA,NA,NA,NA,NA,NA,wot
Merya,NA,Female,NA,NA,NA,NA,NA,NA,wot
Merym,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mesaana,NA,Female,-500,AB,NA,NA,NA,Dark,wot
Sevlana Meseau,NA,Female,NA,NA,NA,NA,NA,NA,wot
Doraise Mesianos,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mestra,NA,Female,NA,NA,1000,NE,NA,NA,wot
Eldrid Methin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Micara,NA,Female,NA,NA,NA,NA,NA,Red,wot
Miesa,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mika,NA,Female,NA,NA,1000,NE,NA,NA,wot
Millin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Milsa,NA,Female,NA,NA,NA,NA,NA,NA,wot
Talene Minly,NA,Female,840,NE,NA,NA,NA,Golden,wot
Mirala,NA,Female,NA,NA,NA,NA,NA,NA,wot
Miren,NA,Female,NA,NA,NA,NA,NA,NA,wot
Miri,NA,Female,NA,NA,1000,NE,NA,NA,wot
Miselle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tylin Quintara Mitsobar,NA,Female,NA,NA,1000,NE,NA,Black,wot
Miyasi,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Miyora,NA,Female,NA,NA,NA,NA,NA,NA,wot
Modarra,74,Female,NA,NA,NA,NA,NA,NA,wot
Modrellein,NA,Female,NA,NA,NA,NA,NA,NA,wot
Moghedien,NA,Female,-500,AB,NA,NA,NA,Dark,wot
Moilin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Monaelle,NA,Female,NA,NA,NA,NA,NA,Red,wot
Jorille Mondevin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Niande Moorwyn,NA,Female,851,NE,NA,NA,NA,NA,wot
Mora (Goshien),NA,Female,NA,NA,NA,NA,NA,NA,wot
Mora (Shaarad),NA,Female,NA,NA,NA,NA,NA,NA,wot
Moradri,NA,Female,NA,NA,NA,NA,NA,NA,wot
Soffi Moraton,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mordaine,NA,Female,NA,NA,NA,NA,NA,Gray,wot
